Tweet,Sentimen
"Irma Suryani Chaniago, anggota DPR dari NasDem, mengatakan ada 2500 dokter muda yg ng lulus ujian kompetensi. Tapi mrk ini sprti terbiarkan oleh IDI, dalam arti ng melihat jalan keluar lain. Padahal Indonesia kekurangan dokter.... https://t.co/L20zhcFY3g",negatif
Idealnya selama status pandemi belum dicabut maka semua kenaikan tarif layanan publik ditunda bahkan gratis/turun serta keringanan pajak agar daya beli sebagian besar rakyat dibantu karena efek inflasi @jokowi @DPR_RI @DPDRI @PerekonomianRI @kemenkomarves @kemenkopmk @KemenBUMN,negatif
"@democrazymedia Gegara DPR era Mega...
melakukan pemaksaan rekonsiliasi TAP MPRS XXV/1966 yg sudah diatur melalui Ketetapan MPR Nomor I tahun 2003.. 

Endingnya ... 
sekarang RUU HIP bakal ngebut disahkan...!!

Waspada ..!!",negatif
"@ArisWila Seharusnya Pemerintah bersama DPR.RI membuat payung hukum Undang2 tentang Perijinan prakter dokter dengan segala konsekuensi nya, Pemecatan ijin Praktek dokter hanya boleh dilakukan oleh Kemenkes yg disyahkan oleh Pengadilan, dan IDI. hanya sebatas Surat Rekomendasi, Saksi Ahli.",Positif
"@KRMTRoySuryo2 Jika saya kasih masukan demi pemerataan maka Gedung MPR DPR ada di Sumatera,  Mabes TNI di Papua,  Mabes Polri di Maluku,  MK di Sulawesi  dll...Salam #Ausbildung",Positif
@__Sridiana_3va Pantesan di DPR jewewewewew semua yak🤭,negatif
"@prastow Yang punya staff khusus begini..
Menkeu saja atau semua kementerian sih..
kalau Staff Khusus begini ikut rapat di DPR ? duduk disampingnya🤔
Atau Khusus untuk Medsos doang..",negatif
@behramlogy @AbdulHa06519089 @BehramLehri @SanjogPakistan @dpr_gob Mash Allah  zeberdasth,negatif
"@cybsquad_ @tni_ad @Puspen_TNI @DPR_RI Memang tidak ada dasar hukum nya anak keturunan PKI tidak boleh masuk TNI...!!??, ijin, apa kah akan menjamin jika dia Masih memiliki genetik dr PKI dan dia menggunakan jabatan dan kekuasaan nyaa serta kedudukan nyaa untuk menegakkan kembali ajaran PKI...!!????",negatif
@uyxqr Sangat cocok untuk org yg berbeda dengan yang lain blom ambil pusing dengan menggunakan jas hujan axio neon box sekali lagi saya juga pernah mengalami dimintai uang oleh DPR,negatif
"DPR: Peta Jalan Pendidikan Penting Dibuat Sebelum RUU Sisdiknas

 #Sindonews #BukanBeritaBiasa .https://t.co/6OgzR1zi5Z",negatif
@cybsquad_ @tni_ad @Puspen_TNI @DPR_RI Sdh kebobolan sjak jmn dulu. https://t.co/Sa23SsPNAZ,negatif
"DAN TETAP AJA..UDAH NGGA ADA SUARANYA PARTEY EMAK ITU!!! MAKANNYA HARUS PT20% DAN HARUS NGUASAIN DPR, MK, MEDIA, dst, dll, dsb...FLEXING TINGKAT DEWA🤪",negatif
"Intinya pemilu langsung rakyat yang berkuasa berdaulat bukan presiden, juga bukan DPR, militer tapi rakyat. DPR tidak bisa membuat peraturan dengan tujuan memakzulkan rakyat, seperti periode 3 tanpa pemilu.",negatif
@acmeiraa @txtdarisukabumi picek tarah e dpr ki,Positif
@acmeiraa @txtdarisukabumi DPR ouh DPR,negatif
Jangan Pilih Ketua DPR Tersangkut Korupsi. Berikut ini Setya Novanto Korupsi Baca selengkapnya. https://t.co/sZ20eGH9m5,negatif
"Entah apa yg ada di otak pemerintah skrng ini.. ga tau nasib rakyat kecil, 

Yg lbh gila lagi ,GORDEN rumah para anggota Dpr harus ganti .. 

Ampun dah ah ..",negatif
"Pak Jokowi periode 1, bilang yang berhak terhadap saya rakyat. Bukan DPR, pemilu rakyat langsung pilih Presiden. Bukan segelintir penguasa partai cak Imin, Airlangga, Zoelkifli Hasan. Rakyat butuh sembako murah, sedangkan mereka butuh kuasa terus karena enak sih ngalir terus.",negatif
"DPR Setuju Pertamina Sesuaikan Harga BBM, Pertamax Diduga Bakal Naik Jadi Segini #Nasional https://t.co/DQDsZUma8Y https://t.co/5BXQCkfTmH",negatif
@markito0171 DPR/LPR probably.,negatif
@DPR_RI Di tegurlah menag ini bikin gaduh saja,negatif
"@DPR_RI Gus Yaqut: FPI dan HTI Masih Berkeliaran di Bawah, Ini Tugas GP Ansor Memberantas Mereka!
https://t.co/RXPlnp12yn",negatif
@democrazymedia @DPR_RI di tegurlah bikin gaduh aja ni org,negatif
@cybsquad_ @tni_ad @Puspen_TNI @DPR_RI SEMAKIN JELAS.,negatif
"Gaji 500 ribu ditahun 2022 cukup berapa hari? ga nyampe 3 hari abis. 
pergi dari jam 8 pagi sampe jam 4 sore, DPR daripada beli gorden mending bayarin hutang kami. Nyiksa bgt tiba2 mati hutang masi ada.",negatif
@opinefactual @Militarylandnet DPR OR LPR UNITS,negatif
@marlina_idha Makanya ga usah ada DPR ...pemborosan dan rawan korupsi,negatif
sumpah jodohnya dpr ian siapa ya,negatif
DPR DPR DPR DPR DPR DPR DPR DPR DPR DPR DPR DPR DPR DPR,negatif
@liputan6dotcom Hidup DPR,negatif
@OposisiCerdas Emang DPR berani ! ....orang Sdh 1 paket kok,negatif
Anggota Komisi II DPR RI Fraksi PKS Mardani Ali Sera mempertanyakan kehadiran Luhut di acara silaturahmi Asosiasi Pemerintah Desa Seluruh Indonesia (Apdesi). https://t.co/8bJ6MHMuzL,Positif
"Maaf gak keliatan, soalnya jendelanya ketutup gorden 48M. DPR terbaik pokona mah lah",negatif
"@OmKodoQ Perang di Indonesia belum Ada ? Maka Pemilu harus sesuai Agenda yg di tetapkan Pemerintah n DPR 14 April 2024
Rebut Freeport ? 
Kontrak nya sudah Habis bukan Merebut ! 51 % beli Saham tpi cuma dapat Jatah doang Operasionalnya mash Freeport yg mengendalikan Lucu kan ?",negatif
"DPR RI Setujui Kenaikan Harga BBM Pertamax Rp16.000 Mulai 1 April 2022 Mendatang
#HargaPertamaxNaik #Pertamax 

https://t.co/HgyFXnjhLF",negatif
"@cybsquad_ @tni_ad @Puspen_TNI @DPR_RI Doaku 
Semoga masih banyak TNI yg benar benar anak kandung rakyat",negatif
"@SahabatSaber Pemerintah, lembaga yudikatif yg m.jalankan UU, DPR-RI (lembaga legislatif) lah pembuat UU tsb.
Kepercayaan masy.lbh ditujukan kpd DPR, krn kekuasaan lembaga tsb yg dpt merubah UU.
KETAKUTAN atas wacana tsb dpt terjadi, yg terus dilontarkan, justru menjadi bola es yg trs b.gulir.",negatif
"@cybsquad_ @tni_ad @Puspen_TNI @DPR_RI Lakh Nyang jadi dewan aja udah banyak 
Yg jelas hukum dan dasar hukum hanyalah kesepakatan skelompok orang yg mewakili banyak orang digunakan untuk mengatur kehidupan berbangsa bernegara 
PKI dilarang !!! 
PKI itu wadah tmpat brkmplnya org yg punya tujuan tertentu
Kalo anknya????",negatif
@liputan6dotcom DPR setuju rakyat enggak,negatif
@VIVAcoid Kalian ini pemerintah apa perampok ya ?? Hukum dari mana barang hadiah kepada fans bisa di sita .. aku punya barang juga ini hadiah dari artis .. mau sita juga tidak ?? @jokowi @OmbudsmanRI137 @DPR_RI @MotoGP,negatif
"KPK Tagih RUU Perampasan Aset dan Penyadapan ke DPR

 #Sindonews #BukanBeritaBiasa .https://t.co/sAutSQomzA",negatif
@Stakof DPR enak ya kemana-mana dpt tinjangan lah saya hanya kuli serabutan. Pertamax naik bingung  belinya. Gaji harian gak naik-naik lagi. Busettdah,negatif
"@oeilverty @gayvita_  camo, monsta x, jung jinhyeong, dpr ian",Positif
"@tubirfess Setiap dipegang rezim banteng, negara ini makin ga karuan. Dulu pas emaknya, dpr setuju jualin aset negara, skr dpr lancar naikin bbm. Udah lah 2024 PLEASE JANGAN PILIH seluruh kandidat dari monyong putih yang ada badaknya.",negatif
@hariankompas @evy57889860 Ya itu doang himbauannya pa dpr,negatif
ada yang ship dpr ian x heeseung...,negatif
@CNNIndonesia Rakyat disuruh ngirit dsuruh ini itu anggaran gorden buat dpr 48jt ..teu baleg,negatif
"Padahal, kalo kita berani keluar dari zona itu, banyak hal menakjubkan yang sudah menanti",negatif
"@DPR_tIAN Iya doong, kakak pasti gapunya sebanyak itu",negatif
@tanyakanrl Infoin ke DPR min,negatif
@Stakof Rasain pilih prediden salah pilih dpr salah,Positif
"@OposisiCerdas Dia Yg manggil ketum parpol bicarakan perpanjangan jabatan presiden.
Dia yg meloby ketua DPR
Dia yg mempola APDESI dukung 3 periode.
Hanya dia yg terus berjuang menggolkan Jokowi 3 periode....",negatif
@marlina_idha Bang** nich anggota @DPR_RI,negatif
"@cybsquad_ @tni_ad @Puspen_TNI @DPR_RI Deal, Rejim ini adl rejim PKI, kalau Pangab ABRI M. Yusuf masih hidup, itu jendral Andika susupan PKI sudah di dor. Andika dan Hendropiyono gak ada beda, mrk 1 kubu. 

Baiklah militer harus lavan militer juga. Ini penjelasannya. 
https://t.co/mt2JVjAxSL",negatif
"@RamliRizal Semprul sekali dpr, harga crud oil 25 $ waktu itu berapa harga bbm non subsidi di pertamina?",negatif
"@AnonSpprtr Hebat B Novel di Serang Jurus sosor Bebek Hendry,Malah Hendry nya Yg Babak belur,Teriak² Kya Anjing di gebugin,Jurus Majdub anda Mang Mantap B Novel,Susah di duga Lwan pdhal Pngcra Polisi n Anggota DPR PDIP Bukan Kleng² dia.
Teriak² Minta Ampun ngadepin anda Bang Bukan Maen dah !",negatif
